title,author,isbn,copiesAvailable,id
Centralized multimedia leverage,Dana Patton,978-1-275-96479-2,49,60
Multi-channeled maximized instruction set,Jerry Cox,978-1-230-37004-0,11,61
Progressive modular knowledgebase,Kevin Smith,978-1-352-81387-6,71,62
Customizable system-worthy concept,Michael Waller,978-0-445-29614-5,38,63
Phased stable pricing structure,Amanda Barnett,978-1-63963-806-2,81,64
Upgradable asynchronous extranet,Kevin Wallace,978-1-306-74706-6,80,65
Profound maximized Graphical User Interface,Mrs. Savannah Quinn,978-0-89167-488-7,47,66
Stand-alone neutral forecast,Elizabeth Crawford,978-0-14-889636-9,74,67
De-engineered uniform matrix,Jessica Thompson,978-1-07-942165-1,25,68
Realigned needs-based methodology,Alicia Ballard,978-1-79123-625-0,91,69
Object-based empowering software,Janice Andrews,978-0-486-51746-9,9,70
Ameliorated well-modulated initiative,Ronald Brown,978-1-82955-802-6,6,71
Enterprise-wide national alliance,Mary Luna,978-0-7920-8233-0,85,72
Universal asynchronous pricing structure,Karen Wyatt,978-1-873227-72-5,30,73
Public-key directional website,David Powers,978-1-989761-67-0,99,74
Versatile static forecast,Michael Sampson,978-0-417-11249-7,38,75
Automated context-sensitive customer loyalty,Charles Rodriguez,978-1-08-972777-4,11,76
Cloned system-worthy interface,Ashley Wilson,978-1-9845-5944-9,30,77
Pre-emptive analyzing challenge,Robert Nolan,978-0-639-59379-1,13,78
Focused bottom-line migration,Kyle Watkins,978-1-65206-893-8,49,79
Stand-alone intermediate artificial intelligence,John Clark,978-0-7338-9914-0,36,80
Inverse grid-enabled framework,Gary Thomas,978-0-251-11069-7,59,81
Total grid-enabled product,Cheryl Hodges,978-0-244-19558-8,82,82
Virtual stable service-desk,Regina Larson,978-0-14-207534-0,47,83
Quality-focused multi-state open architecture,Veronica Ochoa,978-1-917053-47-1,21,84
Streamlined tertiary attitude,Katelyn Roman,978-1-337-33024-4,48,85
Focused discrete core,Krista Mitchell,978-1-116-10048-8,46,86
Cross-group intermediate database,Randy Ruiz,978-1-302-11114-4,27,87
Focused dynamic contingency,Amanda Perkins,978-0-585-79637-6,86,88
Universal global infrastructure,Gavin Conner,978-0-523-94018-2,35,89
De-engineered tertiary initiative,Roy Blackburn,978-1-67786-031-9,90,90
User-friendly homogeneous approach,Aaron Wells,978-0-07-481883-1,88,91
Reverse-engineered solution-oriented matrix,Brenda Montgomery,978-1-4938-2382-6,83,92
Cloned fault-tolerant leverage,Yvette Stephens,978-1-08-778654-4,10,93
Total responsive focus group,Steven Rivas,978-1-81765-053-4,78,94
Visionary 4thgeneration implementation,Andrew Gonzalez,978-1-02-926452-9,82,95
Multi-channeled web-enabled intranet,Cody Matthews,978-0-85914-641-8,22,96
Programmable contextually-based concept,Sara Lee,978-0-309-72111-0,69,97
Down-sized disintermediate frame,Johnny Phillips,978-0-482-89323-9,94,98
Devolved client-server hardware,Dana Deleon,978-0-627-62393-6,32,99
Quality-focused system-worthy infrastructure,Daniel Davenport,978-0-421-02324-6,21,100
